ticker,dollar_adv_hist,price_warmup_med,volume_warmup_avg,adv_window,adv_asof
AEP,400116915.9324646,83.35000228881836,4934880.0,30.0,2020-04-13
AER,85753823.93684387,24.11000061035156,3576493.333333333,30.0,2020-04-13
AES,96055579.92143632,13.474999904632568,7458583.333333333,30.0,2020-04-13
AFG,50171653.01971436,71.73999786376953,778996.6666666666,30.0,2020-04-13
AFL,203279954.7805786,35.55500030517578,6540110.0,30.0,2020-04-13
AFYA,7291712.891864777,19.104999542236328,401186.6666666667,30.0,2020-04-13
AG,38802771.50759697,6.514999866485596,6037680.0,30.0,2020-04-13
AGCO,38333053.585624695,47.829999923706055,770826.6666666666,30.0,2020-04-13
AGEN,5300671.393218994,46.90873336791992,153354.6,30.0,2020-04-13
AGI,23917387.182044983,5.710000038146973,4354610.0,30.0,2020-04-13
AGIO,27036100.60005188,37.42500114440918,724073.3333333334,30.0,2020-04-13
AGM,4382569.033432007,55.72500038146973,79020.0,30.0,2020-04-13
AGNC,213085568.1797028,11.8100004196167,18296076.666666668,30.0,2020-04-13
AGO,37824395.50018311,28.899999618530277,1346560.0,30.0,2020-04-13
AGX,5340731.977462769,37.07500076293945,150456.66666666666,30.0,2020-04-13
AGYS,6681864.685249329,17.05500030517578,363826.6666666667,30.0,2020-04-13
AHCO,1394608.5434913635,15.884999752044678,106696.66666666669,30.0,2020-04-13
AHH,6154463.582175255,10.144999980926514,588458.9666666667,30.0,2020-04-13
AHT,1170140.0,785.0,1362.4,30.0,2020-04-13
AIFU,4488266.501617432,401.5,15772.833333333334,30.0,2020-04-13
AIG,314095111.772728,25.56999969482422,11644906.666666666,30.0,2020-04-13
AIM,13881711.594566343,237.14839935302732,123186.1,30.0,2020-04-13
AIN,17369059.190368652,45.51500129699707,379003.3333333333,30.0,2020-04-13
AIR,10284991.770029068,18.039999961853027,605926.6666666666,30.0,2020-04-13
AIT,13466883.058547974,45.295000076293945,310183.3333333333,30.0,2020-04-13
AIXC,1917525.0,3412.5,872.3666666666667,30.0,2020-04-13
AIZ,59746897.9675293,104.30999755859376,595980.0,30.0,2020-04-13
AJG,131049385.76660156,82.75,1582443.3333333333,30.0,2020-04-13
AKAM,217915992.57621765,90.7650032043457,2457573.333333333,30.0,2020-04-13
AKBA,10369036.01436615,7.025000095367432,1533240.0,30.0,2020-04-13
AKR,17591156.793498993,14.53000020980835,1243680.0,30.0,2020-04-13
AL,61209662.55092621,23.09000015258789,2936083.333333333,30.0,2020-04-13
ALB,130929273.4714508,61.8799991607666,2127410.0,30.0,2020-04-13
ALC,101764735.2153778,50.85000038146973,1922633.3333333333,30.0,2020-04-13
ALEC,12433995.08113861,24.449999809265137,567393.3333333334,30.0,2020-04-13
ALEX,9696252.047538755,12.025000095367432,780416.6666666666,30.0,2020-04-13
ALG,6706738.1675720215,91.9749984741211,74913.33333333333,30.0,2020-04-13
ALGN,244507180.02166748,180.0199966430664,1451746.6666666667,30.0,2020-04-13
ALGT,32293258.89968872,89.46500015258789,362163.3333333333,30.0,2020-04-13
ALK,130000723.65436554,29.855000495910645,3819086.6666666665,30.0,2020-04-13
ALKS,33827981.9419384,14.630000114440918,2115450.0,30.0,2020-04-13
ALL,252925962.2440338,92.13000106811523,2913736.6666666665,30.0,2020-04-13
ALLE,99428150.83465576,95.56499862670898,1034103.3333333334,30.0,2020-04-13
ALLO,16582108.85038376,20.3100004196167,769890.0,30.0,2020-04-13
ALLT,1777954.966878891,9.300000190734863,197210.0,30.0,2020-04-13
ALLY,126569932.9314232,15.920000076293944,7872220.0,30.0,2020-04-13
ALNT,1450912.5468492508,17.71666717529297,90080.0,30.0,2020-04-13
ALNY,84605064.1796112,106.59000015258788,903926.6666666666,30.0,2020-04-13
ALRM,27094151.265335083,39.57000160217285,715186.6666666666,30.0,2020-04-13
ALSN,51240130.77878952,33.209999084472656,1654910.0,30.0,2020-04-13
ALV,48334849.42207336,49.31999969482422,975180.0,30.0,2020-04-13
ALX,3679325.540161133,283.69500732421875,16936.666666666668,30.0,2020-04-13
AMAL,1647431.976699829,9.744999885559082,167116.66666666666,30.0,2020-04-13
AMAT,562773506.3461304,46.72500038146973,12124750.0,30.0,2020-04-13
AMBA,31718413.55857849,47.01000022888184,759093.3333333334,30.0,2020-04-13
AMC,19868142.971248627,32.05000019073486,676783.3333333334,30.0,2020-04-13
AMCR,99722579.75654602,40.625,2734615.333333333,30.0,2020-04-13
AMCX,27960385.52837372,25.72000026702881,1060040.0,30.0,2020-04-13
AMD,3897320894.36512,45.59000015258789,91340440.0,30.0,2020-04-13
AME,174564984.58633423,73.06500244140625,2446613.333333333,30.0,2020-04-13
AMG,49571821.75140381,59.34000015258789,890880.0,30.0,2020-04-13
AMGN,812522553.3554077,204.6500015258789,4064190.0,30.0,2020-04-13
AMKR,13232251.89819336,8.304999828338623,1728860.0,30.0,2020-04-13
